similaridad_juniward,similaridad_uerd,similaridad_jmipod,similaridad_original,distancia_juniward,distancia_uerd,distancia_jmipod,algoritmo_inseguro,predicciones
0.9836592605367491,0.9795850017690326,0.9746089360291478,1.0,0.016340739463250875,0.020414998230967374,0.025391063970852223,distancia_jmipod,distancia_jmipod
0.9587690309274801,0.9449501085753014,0.9698296733224718,1.0,0.041230969072519885,0.05504989142469863,0.03017032667752817,distancia_uerd,distancia_uerd
0.9916408275118762,0.9916233547035841,0.987756091387805,1.0,0.00835917248812379,0.008376645296415908,0.012243908612195042,distancia_jmipod,distancia_jmipod
0.9629642069936298,0.9553567809398344,0.961649292059543,0.9999999999999999,0.037035793006370166,0.04464321906016555,0.03835070794045703,distancia_uerd,distancia_uerd
0.9856046931477377,0.9860638157888723,0.9832858432348518,1.0,0.014395306852262313,0.013936184211127745,0.016714156765148203,distancia_jmipod,distancia_jmipod
0.9811489577780106,0.9809228810539351,0.9774415175989067,1.0000000000000002,0.01885104222198941,0.019077118946064897,0.02255848240109326,distancia_jmipod,distancia_jmipod
0.9641421912040651,0.9465230642497473,0.9653653995125029,1.0,0.03585780879593492,0.053476935750252697,0.034634600487497114,distancia_uerd,distancia_uerd
0.9882484792403928,0.9957965425713318,0.9837097863090093,1.0000000000000002,0.01175152075960717,0.004203457428668234,0.016290213690990707,distancia_jmipod,distancia_jmipod
0.9707282694848208,0.9692374525364933,0.9826226156693559,1.0,0.029271730515179173,0.030762547463506706,0.017377384330644063,distancia_uerd,distancia_uerd
0.9838753345019692,0.9915892405249312,0.956175325055925,0.9999999999999998,0.01612466549803082,0.008410759475068752,0.04382467494407505,distancia_jmipod,distancia_jmipod
0.9779784652703104,0.9765231613609211,0.9467190293661072,1.0000000000000002,0.022021534729689596,0.0234768386390789,0.05328097063389281,distancia_jmipod,distancia_jmipod
0.9913321549783832,0.9913710405530759,0.9768776247183311,1.0,0.008667845021616771,0.0086289594469241,0.02312237528166894,distancia_jmipod,distancia_jmipod
0.9707362277369896,0.9689298968393635,0.9805282051656609,1.0,0.029263772263010357,0.03107010316063652,0.01947179483433914,distancia_uerd,distancia_uerd
0.9583236864100072,0.9539959192418168,0.9717617700579839,0.9999999999999999,0.0416763135899928,0.046004080758183186,0.02823822994201608,distancia_uerd,distancia_uerd
0.9704392105730899,0.9670090383452656,0.9353753075407235,1.0,0.029560789426910095,0.03299096165473436,0.06462469245927649,distancia_jmipod,distancia_jmipod
0.9933514421650473,0.9933215791490569,0.9161428116747723,0.9999999999999999,0.006648557834952662,0.0066784208509430565,0.0838571883252277,distancia_jmipod,distancia_jmipod
0.9918153538178922,0.9916168167262174,0.9856720976601683,1.0000000000000002,0.008184646182107791,0.008383183273782624,0.014327902339831722,distancia_jmipod,distancia_jmipod
0.9974368666956561,0.9930151550453414,0.9318719504188581,1.0,0.0025631333043438786,0.0069848449546585645,0.06812804958114194,distancia_jmipod,distancia_jmipod
0.9667627555006292,0.960534812272732,0.9824074841193217,1.0,0.03323724449937082,0.039465187727268036,0.01759251588067834,distancia_uerd,distancia_uerd
0.9772173954324289,0.9724261690301343,0.9553240279516579,1.0,0.022782604567571085,0.027573830969865654,0.04467597204834206,distancia_jmipod,distancia_jmipod
0.9903649080017431,0.9896780109537097,0.9900825647199727,1.0000000000000002,0.00963509199825685,0.010321989046290336,0.009917435280027309,distancia_uerd,distancia_jmipod
0.9675514972318969,0.9555909518076598,0.9706189968893648,0.9999999999999999,0.03244850276810307,0.04440904819234015,0.029381003110635184,distancia_uerd,distancia_uerd
0.9881035525175457,0.9899274439427262,0.9253197214054847,0.9999999999999999,0.011896447482454331,0.010072556057273752,0.07468027859451531,distancia_jmipod,distancia_jmipod
0.9703884854519447,0.9761342756627966,0.9655354414220926,1.0,0.02961151454805533,0.023865724337203353,0.03446455857790742,distancia_jmipod,distancia_jmipod
0.9938549145697176,0.9938803092363642,0.9803569077006503,0.9999999999999999,0.00614508543028236,0.006119690763635832,0.019643092299349685,distancia_jmipod,distancia_jmipod
0.9763320259475059,0.9692818179819802,0.974689046965977,1.0000000000000002,0.0236679740524941,0.03071818201801979,0.025310953034022976,distancia_uerd,distancia_uerd
0.9600162325586552,0.97084238027888,0.9725852083405987,0.9999999999999999,0.0399837674413448,0.029157619721119965,0.027414791659401305,distancia_juniward,distancia_juniward
0.9890468421010936,0.9865553192629393,0.9839655747128456,1.0,0.010953157898906385,0.013444680737060732,0.016034425287154375,distancia_jmipod,distancia_jmipod
